student_id,galaxy_id,rest_wave_value,rest_wave_unit,obs_wave_value,obs_wave_unit,velocity_value,velocity_unit,ang_size_value,ang_size_unit,est_dist_value,est_dist_unit,last_modified,measurement_number,id,verified,email,verification_code,username,password,institution,age,gender,ip,lat,lon,profile_created,visits,last_visit,last_visit_ip,seed,team_member,dummy
3319,1576,6565,angstrom,6798,angstrom,10647,"km / s",37,arcsecond,167,Mpc,"2022-11-22 18:36:03",first,3319,1,dummy_student_3319@dummy.school,verification_3319,dummy_student_3319,dummypass,Dummy,NULL,NULL,NULL,NULL,NULL,"2022-11-22 18:35:21",0,"2022-11-22 18:35:21",NULL,1,pat,1
3363,1576,6565,angstrom,6819,angstrom,11607,"km / s",18,arcsecond,350,Mpc,"2022-12-01 15:34:34",first,3363,1,dummy_student_3363@dummy.school,verification_3363,dummy_student_3363,dummypass,Dummy,NULL,NULL,NULL,NULL,NULL,"2022-12-01 15:33:02",0,"2022-12-01 15:33:02",NULL,1,pat,1
3363,1576,6565,angstrom,6809,angstrom,11150,"km / s",36,arcsecond,174,Mpc,"2022-12-01 15:34:40",second,3363,1,dummy_student_3363@dummy.school,verification_3363,dummy_student_3363,dummypass,Dummy,NULL,NULL,NULL,NULL,NULL,"2022-12-01 15:33:02",0,"2022-12-01 15:33:02",NULL,1,pat,1
3364,1576,6565,angstrom,6808,angstrom,11104,"km / s",36,arcsecond,174,Mpc,"2022-12-01 15:38:51",first,3364,1,dummy_student_3364@dummy.school,verification_3364,dummy_student_3364,dummypass,Dummy,NULL,NULL,NULL,NULL,NULL,"2022-12-01 15:33:02",0,"2022-12-01 15:33:02",NULL,1,pat,1
3364,1576,6565,angstrom,6808,angstrom,11104,"km / s",35,arcsecond,175,Mpc,"2022-12-01 15:39:11",second,3364,1,dummy_student_3364@dummy.school,verification_3364,dummy_student_3364,dummypass,Dummy,NULL,NULL,NULL,NULL,NULL,"2022-12-01 15:33:02",0,"2022-12-01 15:33:02",NULL,1,pat,1
3365,1576,6565,angstrom,9195,angstrom,120182,"km / s",19,arcsecond,333,Mpc,"2022-12-01 15:35:04",first,3365,1,dummy_student_3365@dummy.school,verification_3365,dummy_student_3365,dummypass,Dummy,NULL,NULL,NULL,NULL,NULL,"2022-12-01 15:34:44",0,"2022-12-01 15:34:44",NULL,1,pat,1
3365,1576,6565,angstrom,6802,angstrom,10830,"km / s",35,arcsecond,175,Mpc,"2022-12-01 15:35:08",second,3365,1,dummy_student_3365@dummy.school,verification_3365,dummy_student_3365,dummypass,Dummy,NULL,NULL,NULL,NULL,NULL,"2022-12-01 15:34:44",0,"2022-12-01 15:34:44",NULL,1,pat,1
3366,1576,6565,angstrom,6830,angstrom,12109,"km / s",34,arcsecond,183,Mpc,"2022-12-01 15:37:49",first,3366,1,dummy_student_3366@dummy.school,verification_3366,dummy_student_3366,dummypass,Dummy,NULL,NULL,NULL,NULL,NULL,"2022-12-01 15:35:10",0,"2022-12-01 15:35:10",NULL,1,pat,1
3366,1576,6565,angstrom,6809,angstrom,11150,"km / s",34,arcsecond,180,Mpc,"2022-12-01 15:37:55",second,3366,1,dummy_student_3366@dummy.school,verification_3366,dummy_student_3366,dummypass,Dummy,NULL,NULL,NULL,NULL,NULL,"2022-12-01 15:35:10",0,"2022-12-01 15:35:10",NULL,1,pat,1
3370,1576,6565,angstrom,5196,angstrom,-62559,"km / s",20,arcsecond,316,Mpc,"2022-12-01 15:40:45",first,3370,1,dummy_student_3370@dummy.school,verification_3370,dummy_student_3370,dummypass,Dummy,NULL,NULL,NULL,NULL,NULL,"2022-12-01 15:39:45",0,"2022-12-01 15:39:45",NULL,1,pat,1
